,id,name,type,testcf,pd,ft,axl,diam,l,fpc,fyl,fsul,fyt,fsut,dlb,nlb,cc,dsp,s,ar,lrr,srr,alr,sdr,smr
0,254,"Davey 1975, No. 1",0,Cantilever with Hammer Head,Feff provided,0,380.0,500.0,2750.0,33.2,373.0,564.0,312.0,0,18.4,20.0,20.2,6.5,65.0,0.18181818181818182,0.3042960963855421,0.010830592738562177,0.058292894819200226,0.3532608695652174,0.4294391247424021
1,255,"Davey 1975, No. 2",0,Cantilever with Hammer Head,Feff provided,0,380.0,500.0,1750.0,34.8,371.0,562.0,312.0,0,18.4,20.0,20.2,6.5,65.0,0.2857142857142857,0.2887488735632184,0.010578684023220614,0.05561276172406458,0.3532608695652174,0.5283890120372289
2,256,"Davey 1975, No. 3",0,Cantilever with Hammer Head,Feff provided,0,380.0,500.0,3250.0,33.8,373.0,563.0,342.0,0,18.4,20.0,20.2,6.5,65.0,0.15384615384615385,0.29889439053254435,0.01176615131422704,0.057258109704066494,0.3532608695652174,0.3690104172266724
3,257,"Munro et al. 1976, No. 1",0,Cantilever with Hammer Head,Feff provided,0,26.4,500.0,2730.0,40.0,305.0,411.0,389.0,0,18.4,20.0,20.2,8.0,34.0,0.18315018315018314,0.20652159999999994,0.018635435207297973,0.00336135239810083,0.4347826086956522,0.11561458849614054
4,258,"Ng et al. 1978, No. 2",0,Cantilever with Hammer Head,Feff provided,0,16.9,250.0,1340.0,35.1,305.0,411.0,263.0,0,13.0,10.0,10.8,4.4,14.0,0.1865671641791045,0.23496296296296298,0.016474617649673673,0.009808660196478289,0.3384615384615385,0.12380991462724546
5,259,"Ng et al. 1978, No. 3",0,Cantilever with Hammer Head,Feff provided,0,550.0,250.0,930.0,33.0,294.0,396.0,207.0,0,12.0,10.0,10.2,4.3,10.0,0.26881720430107525,0.20526545454545456,0.012638819723107993,0.33953054526271004,0.35833333333333334,0.3196310056969385
6,260,"Ang et al. 1981, No. 1",0,Double Ended,Shear provided,0,680.0,400.0,1600.0,26.0,308.0,465.0,308.0,0,16.0,16.0,16.0,6.0,40.0,0.25,0.3032615384615384,0.01605724027064763,0.2081256948124785,0.375,0.41679431112184095
7,261,"Ang et al 1981, No. 2",0,Double Ended,Shear provided,0,2111.0,400.0,1600.0,28.5,308.0,465.0,280.0,0,16.0,16.0,18.0,10.0,55.0,0.25,0.276659649122807,0.03958519913701158,0.5894317278368264,0.625,0.35315042005629926
8,262,"Potangaroa et al. 1979, No. 1",0,Double Ended,Shear provided,0,1920.0,600.0,1200.0,28.4,303.0,409.0,300.0,0,24.0,16.0,25.0,10.0,75.0,0.5,0.27312676056338026,0.01860958574481326,0.23910601779064086,0.4166666666666667,0.6022991727022895
9,263,"Potangaroa et al. 1979, No. 3",0,Double Ended,Shear provided,1,4300.0,600.0,1200.0,26.6,303.0,409.0,300.0,0,24.0,16.0,25.0,10.0,50.0,0.5,0.29160902255639093,0.019228927297425154,0.5717345491187551,0.4166666666666667,0.5394903375974002
10,264,"Potangaroa et al. 1979, No. 4",0,Double Ended,Shear provided,0,3785.0,600.0,1200.0,32.9,303.0,409.0,423.0,0,24.0,16.0,25.0,10.0,70.0,0.5,0.2357689969604863,0.024379064670092068,0.40689055022142784,0.4166666666666667,0.5801514935746354
11,265,"Potangaroa et al. 1979, No. 5A",0,Double Ended,Shear provided,0,3385.0,600.0,1200.0,32.5,307.0,414.0,280.0,0,24.0,16.0,28.0,16.0,55.0,0.5,0.24182153846153845,0.042487239689613876,0.36836887683149794,0.6666666666666666,0.3984847181782266
12,266,"Potangaroa et al. 1979, No. 5B",0,Double Ended,Shear provided,0,6770.0,600.0,1200.0,32.5,307.0,414.0,280.0,0,24.0,16.0,28.0,16.0,55.0,0.5,0.24182153846153845,0.042487239689613876,0.7367377536629959,0.6666666666666666,0.37436140554609665
13,267,"Ang et al. 1985, No. 1",0,Cantilever with Flexible Base,Shear provided,1,0.0,400.0,800.0,37.5,436.0,674.0,328.0,0,16.0,20.0,18.0,6.0,60.0,0.5,0.37205333333333335,0.014553181420713969,0.0,0.375,0.7243750499280002
14,268,"Ang et al. 1985, No. 2",0,Cantilever with Flexible Base,Shear provided,1,0.0,400.0,800.0,37.2,296.0,457.0,328.0,0,16.0,20.0,18.0,6.0,60.0,0.5,0.25462365591397845,0.014611745767677735,0.0,0.375,0.4929803483531119
15,269,"Ang et al. 1985, No. 3",0,Cantilever with Flexible Base,Shear provided,1,0.0,400.0,1000.0,36.0,436.0,674.0,328.0,0,16.0,20.0,18.0,6.0,60.0,0.4,0.38755555555555554,0.014853278589542327,0.0,0.375,0.6673089133089132
16,270,"Ang et al. 1985, No. 4",0,Cantilever with Flexible Base,Shear provided,2,0.0,400.0,800.0,30.6,436.0,674.0,316.0,0,16.0,20.0,20.0,10.0,165.0,0.5,0.4559477124183006,0.04407794796212407,0.0,0.625,0.7783582794756119
17,271,"Ang et al. 1985, No. 5",0,Cantilever with Flexible Base,Shear provided,1,0.0,400.0,800.0,31.1,436.0,674.0,328.0,0,16.0,20.0,18.0,6.0,40.0,0.5,0.44861736334405145,0.015980611096762905,0.0,0.375,0.6347164891131942
18,272,"Ang et al. 1985, No. 6",0,Cantilever with Flexible Base,Shear provided,2,0.0,400.0,600.0,30.1,436.0,674.0,328.0,0,16.0,20.0,18.0,6.0,60.0,0.6666666666666666,0.46352159468438536,0.016243900828204597,0.0,0.375,0.8635593678789127
19,273,"Ang et al. 1985, No. 7",0,Cantilever with Flexible Base,Shear provided,2,0.0,400.0,800.0,29.5,448.0,693.0,372.0,0,16.0,20.0,18.0,6.0,80.0,0.5,0.4859661016949153,0.018609369766474985,0.0,0.375,0.8528580144943229
20,274,"Ang et al. 1985, No. 8",0,Cantilever with Flexible Base,Shear provided,1,721.0,400.0,800.0,28.7,448.0,693.0,372.0,0,16.0,20.0,18.0,6.0,30.0,0.5,0.4995121951219512,0.018866951150110754,0.19991413583494172,0.375,0.6441612029721202
21,275,"Ang et al. 1985, No. 9",0,Cantilever with Flexible Base,Shear provided,0,751.0,400.0,1000.0,29.9,448.0,693.0,372.0,0,16.0,20.0,18.0,6.0,30.0,0.4,0.4794648829431438,0.018484473256190796,0.1998751877291194,0.375,0.576906034032295
22,276,"Ang et al. 1985, No. 10",0,Cantilever with Flexible Base,Shear provided,1,784.0,400.0,800.0,31.2,448.0,693.0,332.0,0,16.0,20.0,21.0,12.0,120.0,0.5,0.4594871794871795,0.06678166235853518,0.19996390285904797,0.75,0.682230797687543
23,277,"Ang et al. 1985, No. 11",0,Cantilever with Flexible Base,Shear provided,1,751.0,400.0,800.0,29.9,448.0,693.0,372.0,0,16.0,20.0,18.0,6.0,60.0,0.5,0.4794648829431438,0.018484473256190796,0.1998751877291194,0.375,0.8484867223777279
24,278,"Ang et al. 1985, No. 12",0,Cantilever with Flexible Base,Shear provided,1,359.0,400.0,600.0,28.6,436.0,674.0,328.0,0,16.0,20.0,18.0,6.0,30.0,0.6666666666666666,0.4878321678321678,0.016664433730859594,0.09988920379368955,0.375,0.7136185673364089
25,279,"Ang et al. 1985, No. 13",0,Cantilever with Flexible Base,Shear provided,1,455.0,400.0,800.0,36.2,436.0,679.0,326.0,0,16.0,20.0,18.0,6.0,30.0,0.5,0.38541436464088397,0.014721872367866515,0.10002140760609445,0.375,0.620939556188632
26,280,"Ang et al. 1985, No. 14",0,Cantilever with Flexible Base,Shear provided,1,0.0,400.0,800.0,33.7,424.0,671.0,326.0,0,24.0,9.0,18.0,6.0,60.0,0.5,0.4076439169139465,0.015258167673895009,0.0,0.25,0.7383871970091468
27,281,"Ang et al. 1985, No. 15",0,Cantilever with Flexible Base,Shear provided,1,0.0,400.0,800.0,34.8,436.0,679.0,326.0,0,16.0,12.0,18.0,6.0,60.0,0.5,0.24055172413793105,0.015015082112844599,0.0,0.375,0.4456365353860116
28,282,"Ang et al. 1985, No. 16",0,Cantilever with Flexible Base,Shear provided,2,420.0,400.0,800.0,33.4,436.0,679.0,326.0,0,16.0,20.0,18.0,6.0,60.0,0.5,0.4177245508982036,0.015326539193366996,0.10006747918951504,0.375,0.8184139320397075
29,283,"Ang et al. 1985, No. 17",0,Cantilever with Flexible Base,Shear provided,1,431.0,400.0,1000.0,34.3,436.0,679.0,326.0,0,16.0,20.0,18.0,6.0,60.0,0.4,0.4067638483965015,0.015124125536025285,0.0999938490854328,0.375,0.7565568201355242
30,284,"Ang et al. 1985, No. 18",0,Cantilever with Flexible Base,Shear provided,2,440.0,400.0,600.0,35.0,436.0,674.0,326.0,0,16.0,20.0,18.0,6.0,60.0,0.6666666666666666,0.39862857142857144,0.014972120416456151,0.10004024994347706,0.375,0.8816241769480264
31,285,"Ang et al. 1985, No. 19",0,Cantilever with Flexible Base,Shear provided,2,432.0,400.0,600.0,34.4,436.0,679.0,326.0,0,16.0,20.0,18.0,6.0,80.0,0.6666666666666666,0.40558139534883725,0.015102126796328713,0.09993449915072498,0.375,0.9438649780755111
32,286,"Ang et al. 1985, No. 20",0,Cantilever with Flexible Base,Shear provided,2,807.0,400.0,700.0,36.7,482.0,758.0,326.0,0,16.0,20.0,18.0,6.0,80.0,0.5714285714285714,0.42027247956403263,0.014621243216011064,0.1749837044620702,0.375,0.9922216289082927
33,287,"Ang et al. 1985, No. 21",0,Cantilever with Flexible Base,Shear provided,2,0.0,400.0,800.0,33.2,436.0,679.0,326.0,0,16.0,20.0,18.0,6.0,80.0,0.5,0.42024096385542165,0.015372634152161793,0.0,0.375,0.837978399565385
34,288,"Ang et al. 1985, No. 22",0,Cantilever with Flexible Base,Shear provided,2,0.0,400.0,800.0,30.9,436.0,679.0,310.0,0,16.0,20.0,20.0,10.0,220.0,0.5,0.45152103559870554,0.04303060503818632,0.0,0.625,0.8698877035575824
35,289,"Ang et al. 1985, No. 23",0,Cantilever with Flexible Base,Shear provided,1,0.0,400.0,800.0,32.3,436.0,679.0,332.0,0,16.0,20.0,21.0,12.0,160.0,0.5,0.43195046439628487,0.06563466324760237,0.0,0.75,0.6249953062173014
36,290,"Ang et al. 1985, No. 24",0,Cantilever with Flexible Base,Shear provided,1,0.0,400.0,800.0,33.1,436.0,679.0,310.0,0,16.0,20.0,20.0,10.0,110.0,0.5,0.42151057401812686,0.041575999195565094,0.0,0.625,0.6397940442004048
37,291,"Ang et al. 1985, No. 25",0,Cantilever with Flexible Base,Shear provided,2,0.0,400.0,600.0,32.8,296.0,457.0,0.0,0,16.0,20.0,0.0,0.0,0.0,0.6666666666666666,0.2887804878048781,0.0,0.0,0.0,0.8638092774038707
38,292,"Zahn et al. 1986, No. 5",0,Double Ended,Shear provided,0,555.0,400.0,1600.0,32.3,337.0,491.0,466.0,0,16.0,16.0,18.0,10.0,135.0,0.25,0.26709597523219814,0.06188450026307373,0.13673528392569959,0.625,0.3607825889791264
39,293,"Zahn et al. 1986, No. 6",0,Double Ended,Shear provided,0,2080.0,400.0,1600.0,27.0,337.0,491.0,466.0,0,16.0,16.0,18.0,10.0,75.0,0.25,0.3195259259259259,0.06768637680693898,0.6130412622798932,0.625,0.31132415043963113
40,294,"Watson and Park 1989, No 10",0,Double Ended,Shear provided,0,2652.0,400.0,1600.0,40.0,474.0,633.3,372.0,0,16.0,12.0,17.0,8.0,84.0,0.25,0.22752,0.02810158056872733,0.527598636349633,0.5,0.5618544728729904
41,295,"Watson and Park 1989, No 11",0,Double Ended,Shear provided,0,3620.0,400.0,1600.0,39.0,474.0,633.3,338.0,0,16.0,12.0,18.0,10.0,57.0,0.25,0.23335384615384613,0.04084901882782835,0.738642171785463,0.625,0.35494057700923765
42,296,"Wong et al. 1990, No. 1",0,Cantilever,Shear provided,0,907.0,400.0,800.0,38.0,423.0,577.0,300.0,0,16.0,20.0,20.0,10.0,60.0,0.5,0.3562105263157895,0.037551254891380226,0.18993885971624877,0.625,0.6016545613584422
43,297,"Wong et al. 1990, No. 2",0,Cantilever,Shear provided,1,1813.0,400.0,800.0,37.0,475.0,625.0,340.0,0,16.0,20.0,18.0,6.0,65.0,0.5,0.41081081081081083,0.015187202667382963,0.3899296105751435,0.375,0.9243782778322838
44,298,"Wong et al. 1990, No. 3",0,Cantilever,Shear provided,0,1813.0,400.0,800.0,37.0,475.0,625.0,300.0,0,16.0,20.0,20.0,10.0,60.0,0.5,0.41081081081081083,0.03805532113549938,0.3899296105751435,0.625,0.6899229944739176
45,299,"Petrovski and Ristic 1984, M1E1",0,Cantilever,Not defined in report,0,145.0,307.0,1910.0,38.8,240.0,0.0,240.0,0,12.0,12.0,36.0,6.0,75.0,0.16073298429319371,0.11340873424454831,0.025116675527147865,0.05048584671099866,0.5,0.23969236027743807
46,300,"Petrovsky and Ristic 1984, M1E2",0,Cantilever,Not defined in report,0,254.0,307.0,1910.0,36.2,240.0,0.0,240.0,0,12.0,12.0,36.0,6.0,75.0,0.16073298429319371,0.1215541129471954,0.026003016566399143,0.09478912488211733,0.5,0.2979639871938227
47,301,"Petrovsky and Ristic 1984, M2E1",0,Cantilever,Not defined in report,1,145.0,307.0,900.0,35.9,240.0,0.0,240.0,0,12.0,12.0,36.0,6.0,75.0,0.3411111111111111,0.12256988547878758,0.026111438231511633,0.05456409059573114,0.5,0.34155435831489495
48,302,"Petrovsky and Ristic 1984, M2E2",0,Cantilever,Not defined in report,1,254.0,307.0,895.0,34.4,240.0,0.0,240.0,0,12.0,12.0,36.0,6.0,75.0,0.34301675977653634,0.12791450257815332,0.0266746541105699,0.09974902095153047,0.5,0.41399108231087045
49,303,"Lim et al. 1990, Con1",0,Cantilever,Feff provided,0,151.0,152.0,1140.0,34.5,448.0,0.0,620.0,0,12.7,8.0,10.2,3.7,22.0,0.13333333333333333,0.7252189971496247,0.08343990703354215,0.2412019391271849,0.2913385826771654,0.21516097717318783
50,304,"Lim et al. 1990, Con2",0,Cantilever,Feff provided,0,151.0,152.0,570.0,34.5,448.0,0.0,620.0,0,12.7,8.0,10.2,3.7,22.0,0.26666666666666666,0.7252189971496247,0.08343990703354215,0.2412019391271849,0.2913385826771654,0.38040819809344445
51,305,"Lim et al. 1990, Con3",0,Cantilever,Feff provided,0,220.0,152.0,570.0,34.5,448.0,0.0,620.0,0,12.7,8.0,10.2,3.7,22.0,0.26666666666666666,0.7252189971496247,0.08343990703354215,0.35142004376146146,0.2913385826771654,0.39776638369112427
52,306,"NIST, Full Scale Flexure",0,Cantilever,Shear provided,0,4450.0,1520.0,9140.0,35.8,475.0,0.0,493.0,0,43.0,25.0,58.7,15.9,89.0,0.16630196936542668,0.26546075602763897,0.010588440133285276,0.06850147564560484,0.3697674418604651,0.2375592340036756
53,307,"NIST, Full Scale Shear",0,Cantilever,Shear provided,0,4450.0,1520.0,4570.0,34.3,475.0,0.0,435.0,0,43.0,25.0,60.3,19.1,54.0,0.33260393873085337,0.2770698269909468,0.013836466383329414,0.0714971670003689,0.44418604651162796,0.2299267504200819
54,308,"NIST, Model N1",0,Cantilever,Shear provided,0,120.0,250.0,750.0,24.1,446.0,0.0,441.0,0,7.0,25.0,9.9,3.1,9.0,0.3333333333333333,0.3627219917012448,0.0162908152041431,0.10143651144778058,0.4428571428571429,0.2260097790668242
55,309,"NIST, Model N2",0,Cantilever,Shear provided,0,239.0,250.0,750.0,23.1,446.0,0.0,441.0,0,7.0,25.0,9.9,3.1,9.0,0.3333333333333333,0.3784242424242424,0.016639694503697653,0.2107735073189291,0.4428571428571429,0.2690601804692829
56,310,"NIST, Model N3",0,Cantilever,Shear provided,0,120.0,250.0,1500.0,25.4,446.0,0.0,476.0,0,7.0,25.0,9.7,2.7,14.0,0.16666666666666666,0.34415748031496063,0.012947890466701448,0.09624487897210679,0.38571428571428573,0.2168245575199555
57,311,"NIST, Model N4",0,Cantilever,Shear provided,0,120.0,250.0,750.0,24.4,446.0,0.0,441.0,0,7.0,25.0,9.9,3.1,9.0,0.3333333333333333,0.3582622950819672,0.016190357009569497,0.100189341225062,0.4428571428571429,0.22590200708370067
58,312,"NIST, Model N5",0,Cantilever,Shear provided,0,239.0,250.0,750.0,24.3,446.0,0.0,441.0,0,7.0,25.0,9.9,3.1,9.0,0.3333333333333333,0.3597366255144033,0.016223636298559038,0.20036493905626593,0.4428571428571429,0.2695809240411106
59,313,"NIST, Model N6",0,Cantilever,Shear provided,0,120.0,250.0,1500.0,23.3,446.0,0.0,476.0,0,7.0,25.0,9.7,2.7,14.0,0.16666666666666666,0.37517596566523603,0.013518792889102006,0.10491931012409926,0.38571428571428573,0.21748766555741914
60,314,"BRI No. 2 (Japan), spbaa1",0,Double Cantilever,Shear provided,0,184.0,250.0,375.0,26.5,399.0,0.0,355.0,0,9.6,4.0,40.0,8.9,50.0,0.6666666666666666,0.08880746264150945,0.18901122055950317,0.14144970640378562,0.9270833333333334,0.20877757038960182
61,315,"BRI No. 3 (Japan), ws21bs",0,Double Cantilever,Shear provided,1,322.0,250.0,250.0,26.5,375.0,0.0,334.5,0,9.5,8.0,40.0,8.9,33.0,1.0,0.16347169811320755,0.17809648810465864,0.24753698620662484,0.9368421052631579,0.32642662584890536
62,316,"BRI No. 3 (Japan), ws22bs",0,Double Cantilever,Shear provided,0,322.0,250.0,500.0,31.6,375.0,0.0,366.0,0,9.5,8.0,38.0,5.9,63.0,0.5,0.13708860759493668,0.07485883616100716,0.20758639666061893,0.6210526315789474,0.4538325729809085
63,317,"BRI No. 3 (Japan), ws25bs",0,Double Cantilever,Shear provided,1,161.0,250.0,250.0,26.5,382.0,0.0,334.5,0,12.7,8.0,40.0,8.9,46.0,1.0,0.2976013524528302,0.17809648810465864,0.12376849310331242,0.7007874015748032,0.4078208604662262
64,318,"BRI No. 3 (Japan), ws26bs",0,Double Cantilever,Shear provided,1,161.0,250.0,500.0,31.6,382.0,0.0,386.5,0,12.7,8.0,37.0,3.9,37.0,0.5,0.24957075443037974,0.03376057504506508,0.10379319833030946,0.30708661417322836,0.5240605929959721
65,319,"BRI No. 3 (Japan), ws27bs",0,Double Cantilever,Shear provided,0,322.0,250.0,500.0,31.6,345.0,0.0,334.5,0,15.9,8.0,40.0,8.9,42.0,0.5,0.3532939746835443,0.16309278592078544,0.20758639666061893,0.559748427672956,0.3594574375285378
66,320,"Arakawa et al. 1987, No. 1",0,Double Cantilever,Feff provided,2,0.0,275.0,300.0,28.8,366.0,0.0,368.0,0,16.0,12.0,20.0,6.0,100.0,0.9166666666666666,0.5162314049586777,0.044701114480032014,0.0,0.375,1.039689191766905
67,321,"Arakawa et al. 1987, No. 2",0,Double Cantilever,Feff provided,2,0.0,275.0,300.0,29.3,366.0,0.0,368.0,0,16.0,12.0,20.0,6.0,50.0,0.9166666666666666,0.5074219953177446,0.04431806444907008,0.0,0.375,0.8074174538636124
68,322,"Arakawa et al. 1987, No. 3",0,Double Cantilever,Feff provided,2,215.0,275.0,300.0,28.6,366.0,0.0,0.0,0,16.0,12.0,23.0,0.0,0.0,0.9166666666666666,0.5198414147835635,0.0,0.1265660299915899,0.0,1.3077802781762395
69,323,"Arakawa et al. 1987, No. 4",0,Double Cantilever,Feff provided,2,215.0,275.0,300.0,29.8,366.0,0.0,368.0,0,16.0,12.0,20.0,6.0,100.0,0.9166666666666666,0.4989082034499972,0.04394469583778173,0.12146941133421044,0.375,1.0314753029560915
70,324,"Arakawa et al. 1987, No. 6",0,Double Cantilever,Feff provided,2,215.0,275.0,300.0,28.6,366.0,0.0,368.0,0,16.0,12.0,20.0,6.0,50.0,0.9166666666666666,0.5198414147835635,0.044857139786806846,0.1265660299915899,0.375,0.8646875766903411
71,325,"Arakawa et al. 1987, No. 8",0,Double Cantilever,Feff provided,2,215.0,275.0,300.0,31.4,366.0,0.0,368.0,0,16.0,12.0,20.0,6.0,35.0,0.9166666666666666,0.4734861293888509,0.04281044782511911,0.11527988718979207,0.375,0.7445583362621556
72,326,"Arakawa et al. 1987, No. 9",0,Double Cantilever,Feff provided,2,215.0,275.0,300.0,30.5,366.0,0.0,368.0,0,16.0,16.0,20.0,6.0,50.0,0.9166666666666666,0.6499438016528926,0.04343748532625751,0.11868158877899905,0.375,1.053114918673528
73,327,"Arakawa et al. 1987, No. 10",0,Double Cantilever,Feff provided,1,215.0,275.0,300.0,30.2,366.0,0.0,368.0,0,16.0,8.0,20.0,6.0,50.0,0.9166666666666666,0.32820009851677523,0.04365270126967009,0.11986054495892288,0.375,0.6577001052409631
74,328,"Arakawa et al. 1987, No. 11",0,Double Cantilever,Feff provided,2,430.0,275.0,300.0,28.7,366.0,0.0,0.0,0,16.0,12.0,23.0,0.0,0.0,0.9166666666666666,0.5180301206553978,0.0,0.2522500667428203,0.0,1.2580437994459532
75,329,"Arakawa et al. 1987, No. 12",0,Double Cantilever,Feff provided,2,430.0,275.0,300.0,27.8,366.0,0.0,368.0,0,16.0,12.0,20.0,6.0,100.0,0.9166666666666666,0.5348008799571913,0.04549798853558425,0.2604164358100339,0.375,1.0483979235540424
76,330,"Arakawa et al. 1987, No. 13",0,Double Cantilever,Feff provided,2,430.0,275.0,300.0,30.5,366.0,0.0,368.0,0,16.0,12.0,20.0,6.0,50.0,0.9166666666666666,0.4874578512396694,0.04343748532625751,0.2373631775579981,0.375,0.8895234945129971
77,331,"Arakawa et al. 1987, No. 14",0,Double Cantilever,Feff provided,2,430.0,275.0,300.0,31.3,366.0,0.0,368.0,0,16.0,12.0,20.0,6.0,35.0,0.9166666666666666,0.4749988646265149,0.04287878058660523,0.23129638707728248,0.375,0.7912649916489607
78,332,"Arakawa et al. 1988, No. 15",0,Double Cantilever,Feff provided,1,0.0,275.0,450.0,32.0,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,0.6111111111111112,0.4608,0.04390528117136571,0.0,0.375,0.7694040372681877
79,333,"Arakawa et al. 1988, No. 16",0,Double Cantilever,Feff provided,0,0.0,275.0,450.0,31.3,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,35.0,0.6111111111111112,0.4711054313099041,0.044393520118197256,0.0,0.375,0.5161115985806239
80,334,"Arakawa et al. 1988, No. 17",0,Double Cantilever,Feff provided,2,215.0,275.0,300.0,31.3,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,0.9166666666666666,0.4711054313099041,0.044393520118197256,0.11564819353864124,0.375,0.9428038963691178
81,335,"Arakawa et al. 1988, No. 18",0,Double Cantilever,Feff provided,2,215.0,275.0,450.0,31.1,363.0,0.0,0.0,0,16.0,12.0,23.0,0.0,0.0,0.6111111111111112,0.4741350482315112,0.0,0.11639191182506337,0.0,1.2681390161984856
