Run #, RV_column1, RV_column2, RV_column3, RV_column4, RV_column5, RV_column6, eta_1, kappa_k, kappa, sig, lam, mup, sigp, rsmax, n, alpha, alpha1, alpha2, betam1, gamma, eta_1.median, kappa_k.median, kappa.median, sig.median, lam.median, mup.median, sigp.median, rsmax.median, n.median, alpha.median, alpha1.median, alpha2.median, betam1.median, gamma.median, eta_1.q5, kappa_k.q5, kappa.q5, sig.q5, lam.q5, mup.q5, sigp.q5, rsmax.q5, n.q5, alpha.q5, alpha1.q5, alpha2.q5, betam1.q5, gamma.q5, eta_1.q95, kappa_k.q95, kappa.q95, sig.q95, lam.q95, mup.q95, sigp.q95, rsmax.q95, n.q95, alpha.q95, alpha1.q95, alpha2.q95, betam1.q95, gamma.q95, eta_1.var, kappa_k.var, kappa.var, sig.var, lam.var, mup.var, sigp.var, rsmax.var, n.var, alpha.var, alpha1.var, alpha2.var, betam1.var, gamma.var, eta_1.q5_w_mnoise, kappa_k.q5_w_mnoise, kappa.q5_w_mnoise, sig.q5_w_mnoise, lam.q5_w_mnoise, mup.q5_w_mnoise, sigp.q5_w_mnoise, rsmax.q5_w_mnoise, n.q5_w_mnoise, alpha.q5_w_mnoise, alpha1.q5_w_mnoise, alpha2.q5_w_mnoise, betam1.q5_w_mnoise, gamma.q5_w_mnoise, eta_1.q95_w_mnoise, kappa_k.q95_w_mnoise, kappa.q95_w_mnoise, sig.q95_w_mnoise, lam.q95_w_mnoise, mup.q95_w_mnoise, sigp.q95_w_mnoise, rsmax.q95_w_mnoise, n.q95_w_mnoise, alpha.q95_w_mnoise, alpha1.q95_w_mnoise, alpha2.q95_w_mnoise, betam1.q95_w_mnoise, gamma.q95_w_mnoise, eta_1.var_w_mnoise, kappa_k.var_w_mnoise, kappa.var_w_mnoise, sig.var_w_mnoise, lam.var_w_mnoise, mup.var_w_mnoise, sigp.var_w_mnoise, rsmax.var_w_mnoise, n.var_w_mnoise, alpha.var_w_mnoise, alpha1.var_w_mnoise, alpha2.var_w_mnoise, betam1.var_w_mnoise, gamma.var_w_mnoise
1, 0.2223, 0.31474, 0.01693, 0.09439, 1.2632, 0.24533, 1.6196, 0.50352, 1.0076, 0.30665, 0.55251, 0.60809, 0.87351, 0.92497, 7.4365, 0.04998, 7.4463, 0.1977, 0.00459, 0.81099, 1.4188, 1.1558, 0.99651, 0.27521, 0.54571, 1.726, 2.1696, 0.72738, 3.8589, 0.015086, 4.5268, 0.48924, 0.0064163, 0.78323, 1.2591, 0.80092, 0.98265, 0.23076, 0.29311, 1.393, 1.7613, 0.44254, 3.2708, 0.010275, 3.9516, 0.26957, 0.0064157, 0.62141, 1.5785, 1.5106, 1.0104, 0.31966, 0.79832, 2.059, 2.5778, 1.0122, 4.4471, 0.019896, 5.102, 0.7089, 0.0064169, 0.94505, 0.0094216, 0.046539, 7.1039e-05, 0.00073038, 0.023585, 0.040989, 0.061591, 0.029988, 0.12786, 8.5529e-06, 0.12229, 0.017835, 1.2391e-13, 0.0096787, 0.82546, -0.13437, 0.95796, 0.027258, 0.25359, -0.040421, 0.45583, 0.39303, 0.60603, -0.00076989, 1.0445, -0.28586, -0.003415, 0.20451, 2.0121, 2.4459, 1.0351, 0.52316, 0.83784, 3.4925, 3.8833, 1.0617, 7.1118, 0.030941, 8.0091, 1.2643, 0.016248, 1.3619, 0.13012, 0.6152, 0.00054932, 0.022724, 0.031542, 1.1533, 1.0855, 0.041318, 3.9109, 9.2918e-05, 4.4821, 0.22205, 3.5725e-05, 0.12379
2, 0.2223, 0.28084, 0.01599, 0.09349, 1.2632, 0.25029, 1.6791, 1.1373, 1.0289, 0.22682, 0.73921, 3.9713, 0.94383, 0.51983, 1.9552, 0.00471, 1.0598, 1.0391, 0.00132, 0.37987, 1.4175, 1.1005, 1.0037, 0.30707, 0.65235, 1.5908, 2.1653, 0.72738, 4.0218, 0.015808, 4.5721, 0.37913, 0.0064163, 0.84106, 1.26, 0.74266, 0.99088, 0.26686, 0.45112, 1.2548, 1.7571, 0.44254, 3.4353, 0.011247, 4.022, 0.17232, 0.0064157, 0.69479, 1.5749, 1.4583, 1.0165, 0.34728, 0.85359, 1.9268, 2.5735, 1.0122, 4.6083, 0.020369, 5.1222, 0.58594, 0.0064169, 0.98733, 0.0091584, 0.047328, 6.0664e-05, 0.00059766, 0.014968, 0.041728, 0.061591, 0.029988, 0.12712, 7.6896e-06, 0.11183, 0.015808, 1.2391e-13, 0.0079078, 0.82473, -0.19046, 0.96551, 0.059843, 0.40331, -0.17619, 0.4516, 0.39303, 0.76922, 2.6524e-05, 1.0938, -0.39242, -0.003415, 0.2665, 2.0102, 2.3915, 1.0419, 0.5543, 0.9014, 3.3578, 3.8791, 1.0617, 7.2744, 0.03159, 8.0503, 1.1507, 0.016248, 1.4156, 0.12986, 0.61599, 0.00053894, 0.022591, 0.022924, 1.154, 1.0855, 0.041318, 3.9102, 9.2055e-05, 4.4716, 0.22003, 3.5725e-05, 0.12202
3, 0.33333, 0.35826, 0.01619, 0.10019, 2.0667, 0.2259, 1.9601, 0.62153, 0.95202, 0.2604, 0.48465, 0.96471, 0.8061, 0.34672, 5.7162, 0.00036, 2.6063, 0.18524, 0.00454, 0.72372, 1.1903, 0.83946, 1.0097, 0.23637, 0.55855, 1.0447, 1.6531, 0.72738, 4.0462, 0.0094522, 4.459, 0.64444, 0.0064163, 0.55924, 0.95697, 0.06382, 0.99209, 0.18152, 0.32306, 0.34254, 1.1696, 0.44254, 3.4375, 0.0028469, 3.7754, 0.26734, 0.0064157, 0.27559, 1.4236, 1.6151, 1.0273, 0.29122, 0.79403, 1.7468, 2.1367, 1.0122, 4.6548, 0.016058, 5.1426, 1.0215, 0.0064169, 0.8429, 0.02012, 0.22236, 0.00011472, 0.001112, 0.020496, 0.18222, 0.086428, 0.029988, 0.13693, 1.6126e-05, 0.17273, 0.052559, 1.2391e-13, 0.029739, 0.57304, -0.62347, 0.96965, -0.013657, 0.2811, -0.82679, -0.080107, 0.39303, 0.78952, -0.0070368, 0.95718, -0.18906, -0.003415, -0.064603, 1.8075, 2.3024, 1.0498, 0.4864, 0.836, 2.9162, 3.3863, 1.0617, 7.3028, 0.025941, 7.9609, 1.4779, 0.016248, 1.1831, 0.14082, 0.79103, 0.000593, 0.023106, 0.028452, 1.2945, 1.1103, 0.041318, 3.92, 0.00010049, 4.5325, 0.25678, 3.5725e-05, 0.14385
4, 0.2223, 0.25711, 0.0153, 0.08559, 1.2632, 0.24902, 1.1777, 0.56801, 1.0296, 0.31776, 0.55495, 1.6743, 3.4718, 0.82912, 1.384, 0.01426, 1.903, 0.23365, 0.00202, 1.0511, 1.4541, 1.1461, 1.0123, 0.32228, 0.54072, 1.6867, 2.0133, 0.87338, 3.8351, 0.011915, 4.4825, 0.43976, 0.0064163, 0.79007, 1.2881, 0.78569, 0.99976, 0.28268, 0.44475, 1.3489, 1.6051, 0.75983, 3.2455, 0.0072224, 3.9245, 0.23015, 0.0064157, 0.64743, 1.6201, 1.5065, 1.0248, 0.36189, 0.63669, 2.0244, 2.4215, 0.98692, 4.4247, 0.016607, 5.0405, 0.64936, 0.0064169, 0.93271, 0.010187, 0.048005, 5.7984e-05, 0.00057977, 0.003404, 0.042162, 0.061591, 0.0047651, 0.12847, 8.1374e-06, 0.11508, 0.016239, 1.2391e-13, 0.0075199, 0.85903, -0.14559, 0.9742, 0.075154, 0.3654, -0.080671, 0.29953, 0.6647, 0.58197, -0.0039054, 1.003, -0.33255, -0.003415, 0.21643, 2.0492, 2.4378, 1.0504, 0.56941, 0.71604, 3.454, 3.727, 1.0821, 7.0882, 0.027734, 7.962, 1.2121, 0.016248, 1.3637, 0.13089, 0.61667, 0.00053626, 0.022573, 0.01136, 1.1545, 1.0855, 0.016096, 3.9115, 9.2503e-05, 4.4749, 0.22046, 3.5725e-05, 0.12163
5, 0.45833, 0.4772, 0.04468, 0.23429, 0.48, 0.79806, 1.0217, 0.63314, 1.0152, 0.9014, 0.91754, 1.2111, 0.16169, 0.9554, 8.0057, 0.01311, 3.6157, 0.79713, 0.00785, 1.0137, 1.2557, 1.2732, 1.02, 0.43974, 0.54567, 0.85452, 1.4143, 0.72738, 3.4259, 0.0086301, 5.2647, 0.52842, 0.0064163, 0.79341, 1.0219, 0.34752, 1.0025, 0.29959, 0.29306, -0.033219, 0.82207, 0.44254, 2.3753, 0.0018984, 4.2312, 0.12382, 0.0064157, 0.34794, 1.4894, 2.1989, 1.0374, 0.57989, 0.79827, 1.7423, 2.0065, 1.0122, 4.4766, 0.015362, 6.2982, 0.93302, 0.0064169, 1.2389, 0.020197, 0.31672, 0.00011262, 0.0072598, 0.023585, 0.29128, 0.12962, 0.029988, 0.408, 1.6749e-05, 0.39476, 0.060506, 1.2391e-13, 0.073346, 0.63825, -0.27451, 0.97997, 0.15841, 0.25354, -1.0942, -0.35235, 0.39303, 0.058569, -0.0079099, 1.6781, -0.31788, -0.003415, 0.081251, 1.8731, 2.8209, 1.0599, 0.72107, 0.83779, 2.8032, 3.1809, 1.0617, 6.7933, 0.02517, 8.8513, 1.3747, 0.016248, 1.5056, 0.1409, 0.88538, 0.0005909, 0.029253, 0.031542, 1.4036, 1.1535, 0.041318, 4.1911, 0.00010111, 4.7546, 0.26472, 3.5725e-05, 0.18745
6, 0.1875, 0.34261, 0.03595, 0.0412, 0.74803, 0.23801, 1.6694, 1.7672, 1.0047, 0.16409, 0.58356, 4.5347, 0.95625, 0.81691, 2.6121, 0.00247, 3.6909, 1.9553, 0.00208, 0.53591, 1.3877, 1.7001, 1.0061, 0.24449, 0.54571, 2.2884, 1.4937, 0.72738, 2.8631, 0.011064, 5.0603, 1.0049, 0.0064163, 1.023, 1.1526, 0.85093, 0.98644, 0.1915, 0.29311, 1.8209, 0.90499, 0.44254, 2.0263, 0.0040089, 4.388, 0.64797, 0.0064157, 0.78912, 1.6229, 2.5492, 1.0258, 0.29748, 0.79832, 2.7558, 2.0824, 1.0122, 3.6998, 0.01812, 5.7325, 1.3619, 0.0064169, 1.2568, 0.020432, 0.2665, 0.00014306, 0.0010378, 0.023585, 0.080762, 0.12809, 0.029988, 0.25879, 1.8399e-05, 0.16703, 0.047095, 1.2391e-13, 0.020212, 0.76982, 0.19687, 0.96511, -0.0051367, 0.25359, 0.49175, -0.27177, 0.39303, -0.44383, -0.0056101, 1.5606, 0.18034, -0.003415, 0.42014, 2.0057, 3.2032, 1.0471, 0.49411, 0.83784, 4.085, 3.2591, 1.0617, 6.1699, 0.027739, 8.5599, 1.8295, 0.016248, 1.6258, 0.14113, 0.83516, 0.00062133, 0.023031, 0.031542, 1.1931, 1.152, 0.041318, 4.0419, 0.00010276, 4.5268, 0.25131, 3.5725e-05, 0.13432
7, 0.25, 0.44611, 0.01397, 0.07227, 1.2075, 0.32794, 1.7708, 1.0001, 1.0225, 0.17347, 0.45172, 1.1805, 0.47141, 0.41766, 3.641, 0.0082, 5.9364, 1.8585, 0.00745, 0.40369, 1.3116, 1.2014, 1.0039, 0.25193, 0.54571, 1.5755, 1.4512, 0.72738, 3.3998, 0.0099839, 5.1801, 0.5982, 0.0064163, 0.6397, 1.0583, 0.61477, 0.98368, 0.18509, 0.29311, 1.1795, 0.96865, 0.44254, 2.744, 0.0027297, 4.295, 0.1973, 0.0064157, 0.23219, 1.565, 1.7881, 1.024, 0.31876, 0.79831, 1.9714, 1.9337, 1.0122, 4.0556, 0.017238, 6.0653, 0.9991, 0.0064169, 1.0472, 0.023727, 0.12721, 0.00015052, 0.0016511, 0.023584, 0.057933, 0.086048, 0.029988, 0.15897, 1.9451e-05, 0.28957, 0.059404, 1.2391e-13, 0.061379, 0.68655, -0.17069, 0.96261, -0.0009996, 0.25359, -0.20392, -0.28178, 0.39303, 0.134, -0.0067755, 1.6334, -0.24634, -0.003415, -0.049345, 1.9367, 2.5736, 1.0451, 0.50485, 0.83783, 3.3548, 3.1841, 1.0617, 6.6656, 0.026743, 8.7268, 1.4427, 0.016248, 1.3288, 0.14443, 0.69587, 0.0006288, 0.023645, 0.03154, 1.1702, 1.11, 0.041318, 3.942, 0.00010382, 4.6494, 0.26362, 3.5725e-05, 0.17549
8, 0.15198, 0.15255, 0.11988, 0.41875, 0.9, 0.21355, 1.657, 1.3436, 1.0339, 0.28292, 0.58625, 1.3289, 0.82704, 0.24756, 1.5258, 0.02214, 2.5271, 1.3803, 0.01034, 1.4675, 1.2555, 1.4527, 0.99947, 0.48836, 0.76271, 1.6628, 1.477, 0.52541, 2.6329, 0.011239, 5.6404, 1.0773, 0.0064163, 1.5473, 1.0533, 0.89986, 0.98363, 0.40822, 0.63594, 1.1094, 1.0258, 0.44173, 1.6064, 0.0054665, 4.5648, 0.81151, 0.0064157, 1.3011, 1.4576, 2.0056, 1.0153, 0.5685, 0.88948, 2.2162, 1.9282, 0.60909, 3.6594, 0.017011, 6.716, 1.3431, 0.0064169, 1.7934, 0.015108, 0.11297, 9.2756e-05, 0.0023738, 0.0059399, 0.11319, 0.075238, 0.0025882, 0.38944, 1.2314e-05, 0.42761, 0.026107, 1.2391e-13, 0.022401, 0.6493, 0.094702, 0.96017, 0.23159, 0.56881, -0.1581, -0.24748, 0.33135, -0.727, -0.0049346, 2.0414, 0.28788, -0.003415, 0.93952, 1.8616, 2.8107, 1.0388, 0.74512, 0.95661, 3.4837, 3.2015, 0.71947, 5.9928, 0.027412, 9.2393, 1.8667, 0.016248, 2.155, 0.13581, 0.68164, 0.00057103, 0.024367, 0.013896, 1.2255, 1.0992, 0.013919, 4.1725, 9.668e-05, 4.7874, 0.23032, 3.5725e-05, 0.13651
9, 0.21918, 0.15093, 0.01657, 0, 0.84906, 0.10902, 1.6973, 0.50413, 0.9858, 0.13188, 0.1921, 4.9805, 4.9262, 0.57414, 1.006, 0.00168, 1.868, 0.99724, 0.02855, 0.89452, 1.3164, 1.1054, 0.99205, 0.35282, 0.54856, 2.2795, 1.8382, 0.72738, 3.0554, 0.0084775, 4.4678, 1.0533, 0.0064163, 0.54794, 1.0862, 0.29383, 0.97445, 0.27895, 0.29604, 1.6701, 1.3207, 0.44254, 2.0915, 0.0020726, 3.6081, 0.76511, 0.0064157, 0.31497, 1.5466, 1.9169, 1.0096, 0.42668, 0.80107, 2.8888, 2.3557, 1.0122, 4.0193, 0.014882, 5.3276, 1.3414, 0.0064169, 0.7809, 0.019581, 0.24344, 0.00011444, 0.0020167, 0.023568, 0.13724, 0.098996, 0.029988, 0.34339, 1.5162e-05, 0.27319, 0.030689, 1.2391e-13, 0.020059, 0.70034, -0.3769, 0.952, 0.097943, 0.25651, 0.44081, 0.095201, 0.39303, -0.28593, -0.0079321, 0.92739, 0.25605, -0.003415, -0.054554, 1.9325, 2.5877, 1.0321, 0.60769, 0.8406, 4.1182, 3.5812, 1.0617, 6.3967, 0.024887, 8.0083, 1.8505, 0.016248, 1.1504, 0.14028, 0.8121, 0.00059272, 0.02401, 0.031524, 1.2496, 1.1229, 0.041318, 4.1265, 9.9528e-05, 4.633, 0.23491, 3.5725e-05, 0.13417
10, 0.1, 0.22305, 0.01397, 0.07227, 1.2075, 0.09607, 1.6746, 0.82858, 1.0404, 0.4113, 0.33352, 3.227, 0.67451, 0.32323, 1.6468, 0.00385, 2.7445, 0.50488, 0.00453, 1.0069, 1.183, 1.221, 1.0158, 0.26693, 0.43144, 1.9449, 1.5327, 0.61864, 3.4827, 0.010182, 4.9232, 0.58193, 0.0064163, 1.3078, 0.95768, -0.13988, 1.0002, 0.20252, 0.29823, 1.4276, 0.89902, 0.43083, 2.7998, 0.0039133, 4.1028, 0.284, 0.0064157, 0.80569, 1.4083, 2.5819, 1.0314, 0.33135, 0.56464, 2.4623, 2.1663, 0.80646, 4.1655, 0.016451, 5.7436, 0.87986, 0.0064169, 1.81, 0.018766, 0.68454, 8.9788e-05, 0.0015337, 0.0065581, 0.098933, 0.14841, 0.013038, 0.17236, 1.4525e-05, 0.24878, 0.032808, 1.2391e-13, 0.093202, 0.56874, -0.62034, 0.97662, 0.014634, 0.23327, 0.13468, -0.24827, 0.36188, 0.21133, -0.0061749, 1.3921, -0.21887, -0.003415, 0.55892, 1.7973, 3.0624, 1.055, 0.51923, 0.6296, 3.7552, 3.3136, 0.87541, 6.754, 0.026539, 8.4543, 1.3827, 0.016248, 2.0568, 0.13946, 1.2532, 0.00056806, 0.023527, 0.014515, 1.2112, 1.1723, 0.024368, 3.9554, 9.8891e-05, 4.6086, 0.23703, 3.5725e-05, 0.20731
11, 0.15198, 0.15255, 0.11808, 0.41875, 0.678, 0.36956, 1.4625, 2.0488, 0.96423, 0.41657, 0.4039, 1.857, 1.4572, 0.34796, 1.4625, 0.01419, 6.4258, 0.28158, 0.00458, 1.7284, 1.3285, 2.5361, 1.007, 0.55418, 0.54571, 1.4655, 1.4307, 0.50248, 2.6406, 0.012331, 5.2477, 0.87144, 0.0064163, 1.5324, 1.0724, 1.4919, 0.98846, 0.47591, 0.29311, 0.82609, 0.97952, 0.4188, 1.6097, 0.0054426, 4.185, 0.46489, 0.0064157, 1.2617, 1.5847, 3.5802, 1.0255, 0.63246, 0.79832, 2.1048, 1.8819, 0.58616, 3.6715, 0.01922, 6.3103, 1.278, 0.0064169, 1.803, 0.024257, 0.40297, 0.00012657, 0.0022647, 0.023585, 0.1511, 0.075238, 0.0025882, 0.39282, 1.754e-05, 0.41736, 0.061091, 1.2391e-13, 0.027073, 0.70229, 0.91473, 0.96651, 0.298, 0.25359, -0.38337, -0.29378, 0.30842, -0.72068, -0.0042731, 1.6526, 0.024205, -0.003415, 0.91433, 1.9548, 4.1574, 1.0474, 0.81037, 0.83784, 3.3143, 3.1552, 0.69653, 6.0018, 0.028936, 8.8428, 1.7187, 0.016248, 2.1504, 0.14496, 0.97164, 0.00060485, 0.024258, 0.031542, 1.2634, 1.0992, 0.013919, 4.1759, 0.00010191, 4.7772, 0.26531, 3.5725e-05, 0.14118
12, 0.125, 0.43305, 0.01799, 0.27129, 0.75294, 0.444, 1.8082, 5.633, 0.9838, 0.25292, 0.50106, 0.7066, 1.7231, 0.75617, 4.6802, 0.0056, 6.579, 1.5682, 0.0029, 0.56271, 1.3676, 3.9005, 1.0048, 0.37592, 0.54571, 1.6218, 1.6808, 0.72738, 3.7327, 0.0084233, 5.4904, 1.0251, 0.0064163, 0.87063, 1.1564, 3.121, 0.98463, 0.30953, 0.29311, 1.1617, 1.1519, 0.44254, 2.6944, 0.0015516, 4.4655, 0.68861, 0.0064157, 0.54389, 1.5789, 4.6801, 1.025, 0.44232, 0.79832, 2.0819, 2.2098, 1.0122, 4.7709, 0.015295, 6.5153, 1.3616, 0.0064169, 1.1974, 0.016495, 0.2246, 0.00015062, 0.0016294, 0.023585, 0.07823, 0.10341, 0.029988, 0.39841, 1.7453e-05, 0.38823, 0.041845, 1.2391e-13, 0.03946, 0.7584, 2.4355, 0.96357, 0.12311, 0.25359, -0.17293, -0.06563, 0.39303, 0.36916, -0.0081741, 1.9063, 0.20916, -0.003415, 0.22605, 1.9769, 5.3655, 1.0461, 0.62873, 0.83784, 3.4165, 3.4272, 1.0617, 7.0962, 0.025021, 9.0745, 1.841, 0.016248, 1.5152, 0.13719, 0.79327, 0.0006289, 0.023623, 0.031542, 1.1905, 1.1273, 0.041318, 4.1815, 0.00010182, 4.748, 0.24606, 3.5725e-05, 0.15357
13, 0.16667, 0.29326, 0.01896, 0.14819, 1, 0.31028, 1.2815, 0.5256, 0.98259, 0.44533, 0.77898, 0.82919, 1.0362, 0.97575, 5.6047, 0.012, 5.1797, 1.677, 0.00437, 1.878, 1.3132, 1.3237, 1.0028, 0.3382, 0.54571, 1.8948, 1.3845, 0.72738, 4.133, 0.011875, 4.7546, 1.0353, 0.0064163, 1.2284, 1.0598, 0.58545, 0.98538, 0.29843, 0.2931, 1.5406, 0.85542, 0.44254, 3.1657, 0.0063734, 4.1432, 0.69413, 0.0064157, 1.0348, 1.5666, 2.0619, 1.0203, 0.37797, 0.79832, 2.2489, 1.9136, 1.0122, 5.1002, 0.017376, 5.366, 1.3764, 0.0064169, 1.4219, 0.023733, 0.20144, 0.0001125, 0.00058459, 0.023585, 0.046356, 0.10347, 0.029988, 0.34578, 1.1186e-05, 0.13817, 0.043018, 1.2391e-13, 0.01385, 0.68809, -0.11976, 0.96284, 0.091048, 0.25359, 0.12421, -0.36197, 0.39303, 0.7907, -0.0042038, 1.2661, 0.21742, -0.003415, 0.63999, 1.9383, 2.7671, 1.0428, 0.58536, 0.83784, 3.6653, 3.131, 1.0617, 7.4752, 0.027953, 8.2431, 1.8532, 0.016248, 1.8168, 0.14443, 0.7701, 0.00059078, 0.022578, 0.031542, 1.1587, 1.1274, 0.041318, 4.1289, 9.5552e-05, 4.498, 0.24724, 3.5725e-05, 0.12796
14, 0.15198, 0.15255, 0.07939, 0.41875, 0.96, 0.29429, 1.0819, 1.6908, 0.99881, 0.34402, 0.46976, 0.71628, 1.5474, 0.55024, 1.7182, 0.00819, 7.8643, 1.3566, 0.00774, 1.3224, 1.3205, 1.4266, 1.0037, 0.52143, 0.54571, 1.6107, 1.4241, 0.45627, 2.6091, 0.010267, 4.9147, 1.0678, 0.0064163, 1.6339, 1.0675, 0.80553, 0.98354, 0.44666, 0.29311, 1.158, 0.97289, 0.37259, 1.5844, 0.0041271, 4.051, 0.77941, 0.0064157, 1.3707, 1.5734, 2.0477, 1.0239, 0.5962, 0.79832, 2.0633, 1.8752, 0.53995, 3.6338, 0.016406, 5.7784, 1.3563, 0.0064169, 1.8971, 0.02365, 0.14258, 0.00015031, 0.0020664, 0.023585, 0.075746, 0.075238, 0.0025882, 0.3881, 1.3932e-05, 0.27574, 0.03075, 1.2391e-13, 0.025601, 0.69552, 0.039432, 0.96247, 0.26629, 0.25359, -0.18221, -0.30041, 0.26221, -0.7503, -0.0060412, 1.3733, 0.27053, -0.003415, 1.0191, 1.9454, 2.8138, 1.0449, 0.77657, 0.83784, 3.4035, 3.1485, 0.65033, 5.9684, 0.026575, 8.4561, 1.8652, 0.016248, 2.2487, 0.14435, 0.71124, 0.00062858, 0.02406, 0.031542, 1.1881, 1.0992, 0.013919, 4.1712, 9.8298e-05, 4.6356, 0.23497, 3.5725e-05, 0.13971
15, 0.15198, 0.21123, 0.14106, 0.31341, 0.9, 0.15748, 1.0482, 1.0073, 1.0139, 0.28953, 0.49076, 1.489, 1.4271, 0.6024, 1.2947, 0.0074, 9.2715, 1.5138, 0.00192, 1.249, 1.3057, 1.3319, 1.0045, 0.37498, 0.54571, 1.6837, 1.4329, 0.72738, 3.6562, 0.011785, 5.1377, 1.1671, 0.0064163, 1.4308, 1.0976, 0.63801, 0.98427, 0.30683, 0.29311, 1.0416, 0.98172, 0.44254, 2.5888, 0.0046883, 3.8857, 0.88259, 0.0064157, 1.1357, 1.5139, 2.0259, 1.0247, 0.44314, 0.79832, 2.3257, 1.8841, 1.0122, 4.7235, 0.018882, 6.3896, 1.4516, 0.0064169, 1.7258, 0.016011, 0.17798, 0.00015092, 0.0017169, 0.023585, 0.15236, 0.075238, 0.029988, 0.42105, 1.8614e-05, 0.57934, 0.029914, 1.2391e-13, 0.032175, 0.69756, -0.089359, 0.96322, 0.1217, 0.25359, -0.16608, -0.29157, 0.39303, 0.28357, -0.0049069, 1.4821, 0.37118, -0.003415, 0.80167, 1.9139, 2.7532, 1.0457, 0.62826, 0.83784, 3.5334, 3.1574, 1.0617, 7.0288, 0.028477, 8.7932, 1.963, 0.016248, 2.0599, 0.13671, 0.74664, 0.0006292, 0.023711, 0.031542, 1.2647, 1.0992, 0.041318, 4.2041, 0.00010298, 4.9392, 0.23413, 3.5725e-05, 0.14628
